word,score
SOAPY,2986
DAISY,2983
RERUN,2983
TOTAL,2983
DECOY,2982
SADLY,2982
WRIST,2981
PREEN,2980
WAIVE,2980
DAUNT,2979
LURID,2979
PASTY,2979
PATSY,2979
THIEF,2979
GLAZE,2977
ODDER,2977
SOLID,2977
LABEL,2976
DRAWL,2975
MAIZE,2975
POSIT,2974
TUBAL,2974
KEFIR,2973
CHANT,2972
CLAIM,2972
MAYBE,2972
STANK,2972
DEMON,2971
FETID,2971
GLOBE,2969
LOAMY,2969
WHOLE,2969
BIOME,2967
CRANK,2966
CURVE,2966
RIPER,2966
DERBY,2964
SHARK,2964
AMITY,2963
WHITE,2963
DOWEL,2961
SPEND,2961
SWIRL,2961
INCUR,2959
PALSY,2959
GROUT,2958
APNEA,2957
LEAVE,2957
SCION,2957
SONIC,2957
CHARD,2956
DICEY,2956
FRONT,2956
HINGE,2956
NEIGH,2956
DIRTY,2955
MASSE,2955
TUMOR,2955
DWELT,2954
SPOIL,2954
BRAND,2953
CHAIN,2953
CHINA,2953
TOAST,2953
DRIED,2951
FIELD,2951
PEACE,2951
CARAT,2949
DEIGN,2948
LINEN,2948
ROGER,2948
DRESS,2947
SPILT,2947
SPLIT,2947
STONY,2947
GAILY,2946
ABASE,2945
DENIM,2945
SPURT,2945
GRAFT,2944
PRIZE,2944
VISOR,2944
BILGE,2943
WHILE,2943
BLAZE,2942
PLAID,2942
CORNY,2941
CRONY,2941
TRACT,2940
WHOSE,2939
GENRE,2936
GREEN,2936
STALL,2936
VAPOR,2935
WIELD,2935
RURAL,2933
SPARK,2933
HEAVY,2931
ANVIL,2928
FLESH,2928
NOISY,2928
SHELF,2928
BADGE,2927
HARDY,2927
MOIST,2927
OCTET,2926
HOVEL,2925
PIPER,2925
SLURP,2925
PRESS,2924
SHEIK,2924
TULLE,2924
TURBO,2923
AFOUL,2922
PANIC,2922
PAYEE,2922
QUART,2922
MICRO,2921
MODAL,2921
LASSO,2920
EPOCH,2919
GUANO,2919
SPOKE,2919
VIDEO,2918
FELLA,2917
CELLO,2916
CHIDE,2916
ELOPE,2916
ADMIT,2915
FAULT,2915
THIRD,2915
TROLL,2915
WINCE,2915
CLOUT,2914
ELIDE,2913
BLEND,2912
GAUNT,2912
WELSH,2912
CRISP,2911
RATTY,2911
BASIC,2910
SHEET,2910
THESE,2910
QUOTE,2908
ROUND,2908
FOCAL,2907
PINTO,2907
POINT,2907
CHEER,2904
GNOME,2904
HARPY,2904
CLOAK,2902
DUNCE,2902
STEED,2902
RALLY,2901
SWEPT,2901
VAGUE,2900
GORGE,2899
COVEN,2897
MAUVE,2897
BLURT,2896
CREED,2896
GUARD,2896
ROOST,2895
SHOVE,2895
TORSO,2895
GLORY,2894
KNAVE,2893
NIECE,2893
SEWER,2893
SPIKE,2893
DEVIL,2891
HABIT,2891
BOXER,2890
SWORN,2890
DRANK,2889
EXULT,2889
CIRCA,2888
PUREE,2888
RUPEE,2888
CHARM,2886
MARCH,2886
NEWLY,2885
RARER,2885
SANDY,2885
SCOUT,2884
DOPEY,2882
QUIET,2882
QUITE,2882
FEMUR,2879
LEVER,2879
REVEL,2879
STEEP,2879
DRAWN,2878
CLANG,2877
CRASS,2877
ENSUE,2877
PERKY,2877
RECUR,2876
AGONY,2875
MANIC,2875
SWARM,2875
BRAWL,2873
CREEP,2873
CREPE,2873
HORNY,2872
SMOKE,2872
BLOKE,2870
SAUCY,2870
BACON,2869
BEFIT,2869
ARDOR,2868
ENVOY,2868
GIRLY,2868
NATAL,2868
TANGY,2868
REEDY,2867
BURST,2866
PRANK,2866
STACK,2865
ENDOW,2864
LOCUS,2864
INGOT,2863
PANSY,2862
SCENE,2862
STAMP,2861
TAINT,2860
TITAN,2860
WOOER,2860
BELOW,2859
BOWEL,2859
ELBOW,2859
SLEEP,2859
BRAVO,2856
GUIDE,2856
CRAMP,2855
PRAWN,2855
VAULT,2855
FIEND,2854
ISSUE,2852
QUEST,2851
GLOVE,2850
APART,2849
CAPUT,2849
SERVE,2849
SEVER,2849
VERSE,2849
GIRTH,2848
MOVIE,2848
RIGHT,2848
HELLO,2847
VOCAL,2847
BEGIN,2846
BEING,2846
BINGE,2846
CHIME,2846
LIEGE,2846
WHINE,2846
MANLY,2845
MIRTH,2845
SLACK,2845
FLOUR,2844
CABIN,2843
LINGO,2843
LOGIN,2843
AXION,2842
ZONAL,2842
PSALM,2841
BRIBE,2840
DEBUT,2840
TESTY,2840
BROTH,2839
CACHE,2839
THROB,2839
FRUIT,2838
MEDIC,2838
MOURN,2838
ROWER,2838
WIDEN,2838
FOIST,2836
GLINT,2836
THYME,2836
YACHT,2836
DEPTH,2835
LOUSY,2835
GRUNT,2834
FAITH,2832
FROZE,2832
TITHE,2831
BETEL,2830
CLOTH,2830
PLUME,2829
LUSTY,2828
SPURN,2828
GONAD,2827
CREME,2826
NEWER,2826
RENEW,2826
DETOX,2824
NOMAD,2824
CURLY,2822
CAVIL,2821
PRIMO,2821
FORTY,2820
NASAL,2818
TRICK,2818
COUNT,2817
JOKER,2816
OFFER,2816
QUERY,2816
SIEGE,2816
ZESTY,2816
SHOUT,2815
SOUTH,2815
BELCH,2813
BIRTH,2813
AGORA,2812
BELIE,2811
AROMA,2809
OBESE,2807
RADII,2807
STING,2806
EMPTY,2805
FIXER,2805
OXIDE,2805
AHEAD,2804
FRAUD,2802
POLKA,2802
HOTLY,2801
SHAFT,2801
BESET,2800
GLAND,2800
OPTIC,2800
TOPIC,2800
BRUNT,2799
BURNT,2799
RUDER,2799
ADMIN,2798
ARMOR,2798
SIGMA,2798
FAVOR,2797
ROVER,2794
WOMEN,2794
SHEEN,2793
RUMBA,2791
TUNIC,2791
UMBRA,2791
BUSED,2790
DIODE,2790
SHELL,2790
GRAPH,2789
VALVE,2789
GAUZE,2788
SAVOY,2788
TULIP,2788
FEIGN,2787
EXERT,2786
HELIX,2786
SLING,2786
DENSE,2785
SWATH,2785
SPOUT,2784
BICEP,2783
ALARM,2782
EKING,2782
LURCH,2782
NERVE,2782
NEVER,2782
FLASH,2781
FORTH,2780
FROTH,2780
TOTEM,2779
APING,2778
BISON,2778
CLANK,2778
CROUP,2778
GNASH,2778
BRAWN,2776
CHOKE,2776
PURER,2776
FETCH,2774
DISCO,2773
SCOLD,2772
AVOID,2771
FLEET,2771
HARSH,2769
LOCAL,2769
WAXEN,2769
RIVER,2768
SNAFU,2768
MOULT,2767
SPRIG,2767
ARBOR,2766
BLAND,2765
MAJOR,2765
PATCH,2765
PIOUS,2765
SHAWL,2765
PRISM,2764
THROW,2764
WORTH,2764
POSSE,2763
UNITY,2762
COVEY,2761
GAUGE,2761
MECCA,2761
QUOTA,2761
UDDER,2761
ENNUI,2759
SPELL,2759
NUDGE,2758
TAWNY,2758
VAUNT,2758
AMONG,2757
MANGO,2757
CHIEF,2755
DRYER,2755
PIXEL,2755
ATTIC,2753
BUGLE,2753
BULGE,2753
TACIT,2753
CRUSH,2752
GOOSE,2752
GREED,2752
SUMAC,2752
WRECK,2752
IMBUE,2751
VENOM,2750
GENIE,2749
LANKY,2749
MOOSE,2749
BAYOU,2748
SNACK,2748
AGLOW,2747
DRIFT,2746
ENJOY,2745
HEFTY,2745
GUILT,2744
VALID,2744
BORAX,2743
ETUDE,2743
LILAC,2743
FLINT,2742
IVORY,2741
ALLOY,2740
BRIAR,2740
DONUT,2740
GUSTO,2740
LOYAL,2740
VOWEL,2740
RISKY,2739
WELCH,2738
BRINY,2736
LOGIC,2736
WORLD,2736
EERIE,2735
TRUNK,2735
UPPER,2735
GRASS,2733
NOTCH,2733
TALLY,2733
TENTH,2733
CREEK,2730
ADAGE,2729
THANK,2729
FRANK,2728
VIRUS,2728
CRYPT,2727
GIVEN,2727
PRONG,2726
DATUM,2725
MACHO,2725
MOCHA,2725
SWEET,2725
ELUDE,2723
GRIND,2723
DUVET,2721
CACTI,2720
SCUBA,2720
HYMEN,2719
SNAKY,2719
EDIFY,2718
MATCH,2718
WHIRL,2718
BREED,2717
CHORD,2717
BENCH,2716
CROWN,2716
LAUGH,2716
LEECH,2716
SLEEK,2716
TROUT,2716
TUTOR,2716
QUAIL,2715
SEMEN,2715
TIPSY,2714
PROWL,2713
SMELL,2712
CANDY,2711
LIBEL,2711
BUILT,2709
SHADY,2709
DOZEN,2708
STINK,2707
STOOL,2707
AGAPE,2706
SWORD,2706
SQUAT,2704
COLOR,2701
GECKO,2701
PROUD,2701
SHIRK,2699
BRASS,2698
WOKEN,2698
ILIAC,2696
MIDGE,2694
PORCH,2694
RABBI,2693
TASTY,2693
SYRUP,2692
ARROW,2691
FLUME,2691
INPUT,2691
SHUNT,2691
REVUE,2690
SOUND,2690
CLASS,2689
HYDRO,2688
KNIFE,2688
SPECK,2688
SWAMI,2688
SLINK,2687
BATCH,2686
CAULK,2686
PIECE,2686
CARRY,2685
CHURN,2685
MERRY,2685
QUASI,2685
ABBEY,2684
HEAVE,2684
SALLY,2683
MERGE,2682
FRIAR,2681
INDEX,2681
QUAKE,2680
SHANK,2679
PLANK,2678
EVADE,2676
FLOUT,2676
SCRUM,2674
STILL,2671
MOUNT,2670
TAUNT,2670
APHID,2669
GROWL,2669
INDIE,2669
CHASM,2668
CHIRP,2668
CLAMP,2667
USUAL,2666
ROUGH,2665
UNFED,2664
CRAZY,2663
HUMOR,2662
SIEVE,2662
TACKY,2662
MADLY,2661
STILT,2661
VOGUE,2661
LIGHT,2660
PESKY,2659
STRUT,2659
TRUST,2659
DEFER,2658
FREED,2658
GAMUT,2658
BLESS,2657
GOURD,2657
BEGUN,2656
GHOST,2656
JUICE,2656
FROND,2655
THRUM,2655
TOPAZ,2655
BERRY,2653
JOIST,2653
BIBLE,2652
LORRY,2650
WAGON,2650
WHERE,2650
KNEEL,2649
SEEDY,2649
SPANK,2648
UNWED,2648
EMBER,2647
SLIMY,2647
WOMAN,2647
ERROR,2646
EVERY,2646
SYNOD,2646
TRUSS,2646
CANAL,2644
BURLY,2643
SHALL,2643
TWANG,2643
WOVEN,2643
HANDY,2642
SCRUB,2642
TOUCH,2641
WENCH,2641
STASH,2640
DROWN,2639
AMPLY,2638
CROSS,2638
WHELP,2638
SCAMP,2637
SPAWN,2637
JAUNT,2635
JUNTA,2635
GROUP,2634
SALAD,2634
LOFTY,2632
GRAVY,2631
LARVA,2631
PASTA,2631
SIGHT,2630
BADLY,2629
